관리번호,대피소 명칭,대피소 상세주소,면적,수용가능최대인원,수용가능인원,행정동 코드,행정동 명칭,비고,구
47344,한양감리교회,성내2동 203-46,,0,0,11740650,성내2동,,강동구
47345,세곡문화센터,율현동 278-1 (밤고개길 286),,800,0,11680700,세곡동,,강남구
47346,장안2동 주민센터,장안동 286-3,,0,0,11230660,장안2동,,동대문구
47347,번동초등학교,번동 236(오현로 204),,40,0,11305606,번3동,,강북구
47348,도봉 문화고등학교,방학1동 723 (마들로 598),,3702,0,11320690,방학1동,,도봉구
47349,원광종합복지관,신내1동 572-2,,3472,0,11260680,신내1동,,중랑구
47350,거원초등학교,거여2동 296-1,,1950,0,11710532,거여2동,,송파구
47351,양화진경로당,양화진길 43(합정동),,35,0,11440680,합정동,,마포구
47352,당서초등학교,당산동5가 5-3,,1904,0,11560560,당산2동,,영등포구
47353,대동초등학교,대림동 702,,800,0,11560710,대림2동,,영등포구
47354,서강초등학교,독막로 113(상수동),,290,0,11440655,서강동,,마포구
47355,연서경로당,연남로11길 3(연남동),,41,0,11440710,연남동,,마포구
47356,신남성초등학교,사당동 199-1,,810,0,11590651,사당5동,,동작구
47357,원당초등학교,1669-1(봉천로505),,60,0,11620575,행운동,,관악구
47358,구로초등학교,구로동 443,,0,0,11530530,구로2동,,구로구
